id,power_usage,t,days_from_start,categorical_id,date,id,hour,day,day_of_week,month,hours_from_start,categorical_day_of_week,categorical_hour
17544,2.53807106598985,26304.0,1096,MT_001,2014-01-01 00:00:00,MT_001,0,1,2,1,26304.0,2,0
17545,2.8553299492385804,26305.0,1096,MT_001,2014-01-01 01:00:00,MT_001,1,1,2,1,26305.0,2,1
17546,2.85532994923858,26306.0,1096,MT_001,2014-01-01 02:00:00,MT_001,2,1,2,1,26306.0,2,2
17547,2.8553299492385804,26307.0,1096,MT_001,2014-01-01 03:00:00,MT_001,3,1,2,1,26307.0,2,3
17548,2.53807106598985,26308.0,1096,MT_001,2014-01-01 04:00:00,MT_001,4,1,2,1,26308.0,2,4
17549,2.53807106598985,26309.0,1096,MT_001,2014-01-01 05:00:00,MT_001,5,1,2,1,26309.0,2,5
17550,3.1725888324873104,26310.0,1096,MT_001,2014-01-01 06:00:00,MT_001,6,1,2,1,26310.0,2,6
17551,2.85532994923858,26311.0,1096,MT_001,2014-01-01 07:00:00,MT_001,7,1,2,1,26311.0,2,7
17552,1.2690355329949226,26312.0,1096,MT_001,2014-01-01 08:00:00,MT_001,8,1,2,1,26312.0,2,8
17553,0.31725888324873,26313.0,1096,MT_001,2014-01-01 09:00:00,MT_001,9,1,2,1,26313.0,2,9
17554,0.63451776649746,26314.0,1096,MT_001,2014-01-01 10:00:00,MT_001,10,1,2,1,26314.0,2,10
17555,0.31725888324873,26315.0,1096,MT_001,2014-01-01 11:00:00,MT_001,11,1,2,1,26315.0,2,11
17556,0.63451776649746,26316.0,1096,MT_001,2014-01-01 12:00:00,MT_001,12,1,2,1,26316.0,2,12
17557,0.31725888324873,26317.0,1096,MT_001,2014-01-01 13:00:00,MT_001,13,1,2,1,26317.0,2,13
17558,0.31725888324873,26318.0,1096,MT_001,2014-01-01 14:00:00,MT_001,14,1,2,1,26318.0,2,14
17559,0.63451776649746,26319.0,1096,MT_001,2014-01-01 15:00:00,MT_001,15,1,2,1,26319.0,2,15
17560,2.2208121827411174,26320.0,1096,MT_001,2014-01-01 16:00:00,MT_001,16,1,2,1,26320.0,2,16
17561,2.2208121827411174,26321.0,1096,MT_001,2014-01-01 17:00:00,MT_001,17,1,2,1,26321.0,2,17
17562,2.8553299492385804,26322.0,1096,MT_001,2014-01-01 18:00:00,MT_001,18,1,2,1,26322.0,2,18
17563,2.85532994923858,26323.0,1096,MT_001,2014-01-01 19:00:00,MT_001,19,1,2,1,26323.0,2,19
17564,2.53807106598985,26324.0,1096,MT_001,2014-01-01 20:00:00,MT_001,20,1,2,1,26324.0,2,20
17565,2.53807106598985,26325.0,1096,MT_001,2014-01-01 21:00:00,MT_001,21,1,2,1,26325.0,2,21
17566,3.1725888324873104,26326.0,1096,MT_001,2014-01-01 22:00:00,MT_001,22,1,2,1,26326.0,2,22
17567,2.53807106598985,26327.0,1096,MT_001,2014-01-01 23:00:00,MT_001,23,1,2,1,26327.0,2,23
17568,2.53807106598985,26328.0,1097,MT_001,2014-01-02 00:00:00,MT_001,0,2,3,1,26328.0,3,0
17569,2.8553299492385804,26329.0,1097,MT_001,2014-01-02 01:00:00,MT_001,1,2,3,1,26329.0,3,1
17570,2.8553299492385804,26330.0,1097,MT_001,2014-01-02 02:00:00,MT_001,2,2,3,1,26330.0,3,2
17571,2.53807106598985,26331.0,1097,MT_001,2014-01-02 03:00:00,MT_001,3,2,3,1,26331.0,3,3
17572,2.85532994923858,26332.0,1097,MT_001,2014-01-02 04:00:00,MT_001,4,2,3,1,26332.0,3,4
17573,2.85532994923858,26333.0,1097,MT_001,2014-01-02 05:00:00,MT_001,5,2,3,1,26333.0,3,5
17574,2.53807106598985,26334.0,1097,MT_001,2014-01-02 06:00:00,MT_001,6,2,3,1,26334.0,3,6
17575,2.8553299492385804,26335.0,1097,MT_001,2014-01-02 07:00:00,MT_001,7,2,3,1,26335.0,3,7
17576,2.2208121827411174,26336.0,1097,MT_001,2014-01-02 08:00:00,MT_001,8,2,3,1,26336.0,3,8
17577,2.5380710659898478,26337.0,1097,MT_001,2014-01-02 09:00:00,MT_001,9,2,3,1,26337.0,3,9
17578,1.5862944162436525,26338.0,1097,MT_001,2014-01-02 10:00:00,MT_001,10,2,3,1,26338.0,3,10
17579,2.5380710659898478,26339.0,1097,MT_001,2014-01-02 11:00:00,MT_001,11,2,3,1,26339.0,3,11
17580,1.5862944162436525,26340.0,1097,MT_001,2014-01-02 12:00:00,MT_001,12,2,3,1,26340.0,3,12
17581,2.8553299492385804,26341.0,1097,MT_001,2014-01-02 13:00:00,MT_001,13,2,3,1,26341.0,3,13
17582,1.2690355329949226,26342.0,1097,MT_001,2014-01-02 14:00:00,MT_001,14,2,3,1,26342.0,3,14
17583,2.85532994923858,26343.0,1097,MT_001,2014-01-02 15:00:00,MT_001,15,2,3,1,26343.0,3,15
17584,1.9035532994923825,26344.0,1097,MT_001,2014-01-02 16:00:00,MT_001,16,2,3,1,26344.0,3,16
17585,1.9035532994923852,26345.0,1097,MT_001,2014-01-02 17:00:00,MT_001,17,2,3,1,26345.0,3,17
17586,2.2208121827411174,26346.0,1097,MT_001,2014-01-02 18:00:00,MT_001,18,2,3,1,26346.0,3,18
17587,2.2208121827411174,26347.0,1097,MT_001,2014-01-02 19:00:00,MT_001,19,2,3,1,26347.0,3,19
17588,2.2208121827411174,26348.0,1097,MT_001,2014-01-02 20:00:00,MT_001,20,2,3,1,26348.0,3,20
17589,2.5380710659898478,26349.0,1097,MT_001,2014-01-02 21:00:00,MT_001,21,2,3,1,26349.0,3,21
17590,2.2208121827411174,26350.0,1097,MT_001,2014-01-02 22:00:00,MT_001,22,2,3,1,26350.0,3,22
17591,2.2208121827411174,26351.0,1097,MT_001,2014-01-02 23:00:00,MT_001,23,2,3,1,26351.0,3,23
17592,2.53807106598985,26352.0,1098,MT_001,2014-01-03 00:00:00,MT_001,0,3,4,1,26352.0,4,0
