6,Object identification
5,Object detection
4,Predictive maintenance
4,Object tracking 
3,Driver monitoring system 
2,Workflow management
2,Robotics
2,VR
2,Voice recognition 
2,Traffic flow prediction
2,Capacity forecast 
2,AR
2,Advisory system
1,Action recognition 
1,Annotation
1,Autonomous driving
1,BERT 
1,BI
1,Captioning 
1,Digital Assistant 
1,Gaze tracking 
1,Image segmentation 
1,IoT
1,Loss prevention
1,ML pipelines
1,Pose estimation
1,Profiling 
1,Recommendation system
1,Scene analysis
1,Shrink control
1,Signal processing 
1,Telemetry
1,TensorFlow models
