+1.00	+25.76	+16.56
+1.00	+20.66	+18.43
+1.00	+17.13	+23.88
+1.00	+18.32	+27.32
+1.00	+18.59	+17.51
+1.00	+22.04	+19.16
+1.00	+18.76	+18.31
+1.00	+25.38	+23.07
+1.00	+16.29	+22.68
+1.00	+20.95	+17.71
+1.00	+17.83	+19.71
+1.00	+20.05	+26.82
+1.00	+22.68	+19.64
+1.00	+23.93	+18.27
+1.00	+23.96	+19.14
+1.00	+16.62	+18.06
+1.00	+21.05	+19.16
+1.00	+22.70	+21.39
+1.00	+21.73	+20.48
+1.00	+22.00	+24.36
+1.00	+17.17	+19.18
+1.00	+18.69	+21.36
+1.00	+24.89	+17.65
+1.00	+20.13	+21.80
+1.00	+20.55	+17.52
+1.00	+17.61	+18.92
+1.00	+18.29	+15.92
+1.00	+16.74	+23.00
+1.00	+17.14	+20.33
+1.00	+16.96	+24.21
+1.00	+9.31	+15.15
+1.00	+22.88	+25.15
+1.00	+26.13	+16.76
+1.00	+19.31	+21.10
+1.00	+19.69	+20.49
+1.00	+19.77	+17.93
+1.00	+21.70	+19.72
+1.00	+20.85	+17.43
+1.00	+25.25	+18.99
+1.00	+20.54	+21.27
+1.00	+22.36	+20.10
+1.00	+17.79	+17.12
+1.00	+13.24	+17.86
+1.00	+15.73	+16.11
+1.00	+21.68	+22.63
+1.00	+20.41	+20.98
+1.00	+19.54	+25.41
+1.00	+18.70	+18.79
+1.00	+23.51	+20.08
+1.00	+21.34	+21.80
+1.00	+19.99	+18.15
+1.00	+18.85	+18.51
+1.00	+21.73	+18.95
+1.00	+20.60	+15.06
+1.00	+12.64	+14.49
+1.00	+25.68	+25.37
+1.00	+17.24	+16.77
+1.00	+22.74	+18.53
+1.00	+16.32	+18.47
+1.00	+16.89	+19.54
+1.00	+18.18	+16.03
+1.00	+18.56	+20.20
+1.00	+17.34	+26.08
+1.00	+17.21	+19.88
+1.00	+19.92	+19.88
+1.00	+22.29	+20.60
+1.00	+20.68	+25.46
+1.00	+12.27	+20.22
+1.00	+27.30	+22.35
+1.00	+20.18	+21.51
+1.00	+24.15	+21.48
+1.00	+18.41	+20.95
+1.00	+22.63	+24.69
+1.00	+18.63	+23.86
+1.00	+28.29	+22.70
+1.00	+18.90	+23.19
+1.00	+19.09	+21.51
+1.00	+21.03	+18.84
+1.00	+19.28	+18.87
+1.00	+15.46	+15.99
+1.00	+21.76	+26.18
+1.00	+19.49	+19.82
+1.00	+20.88	+20.53
+1.00	+15.22	+16.54
+1.00	+22.19	+15.86
+1.00	+20.29	+24.61
+1.00	+23.49	+21.29
+1.00	+23.44	+24.74
+1.00	+23.91	+23.87
+1.00	+18.90	+22.41
+1.00	+22.98	+21.73
+1.00	+17.09	+22.69
+1.00	+21.10	+16.68
+1.00	+20.38	+21.58
+1.00	+21.89	+24.31
+1.00	+20.03	+19.86
+1.00	+19.41	+29.94
+1.00	+15.14	+18.12
+1.00	+21.16	+23.16
+1.00	+22.68	+28.14
