118.0	112.0
132.0	118.0
129.0	132.0
121.0	129.0
135.0	121.0
148.0	135.0
148.0	148.0
136.0	148.0
119.0	136.0
104.0	119.0
118.0	104.0
115.0	118.0
126.0	115.0
141.0	126.0
135.0	141.0
125.0	135.0
149.0	125.0
170.0	149.0
170.0	170.0
158.0	170.0
133.0	158.0
114.0	133.0
140.0	114.0
145.0	140.0
150.0	145.0
178.0	150.0
163.0	178.0
172.0	163.0
178.0	172.0
199.0	178.0
199.0	199.0
184.0	199.0
162.0	184.0
146.0	162.0
166.0	146.0
171.0	166.0
180.0	171.0
193.0	180.0
181.0	193.0
183.0	181.0
218.0	183.0
230.0	218.0
242.0	230.0
209.0	242.0
191.0	209.0
172.0	191.0
194.0	172.0
196.0	194.0
196.0	196.0
236.0	196.0
235.0	236.0
229.0	235.0
243.0	229.0
264.0	243.0
272.0	264.0
237.0	272.0
211.0	237.0
180.0	211.0
201.0	180.0
204.0	201.0
188.0	204.0
235.0	188.0
227.0	235.0
234.0	227.0
264.0	234.0
302.0	264.0
293.0	302.0
259.0	293.0
229.0	259.0
203.0	229.0
229.0	203.0
242.0	229.0
233.0	242.0
267.0	233.0
269.0	267.0
270.0	269.0
315.0	270.0
364.0	315.0
347.0	364.0
312.0	347.0
274.0	312.0
237.0	274.0
278.0	237.0
284.0	278.0
277.0	284.0
317.0	277.0
313.0	317.0
318.0	313.0
374.0	318.0
413.0	374.0
405.0	413.0
355.0	405.0
306.0	355.0
271.0	306.0
306.0	271.0
315.0	306.0
301.0	315.0
356.0	301.0
348.0	356.0
355.0	348.0
422.0	355.0
465.0	422.0
467.0	465.0
404.0	467.0
347.0	404.0
305.0	347.0
336.0	305.0
340.0	336.0
318.0	340.0
362.0	318.0
348.0	362.0
363.0	348.0
435.0	363.0
491.0	435.0
505.0	491.0
404.0	505.0
359.0	404.0
310.0	359.0
337.0	310.0
360.0	337.0
342.0	360.0
406.0	342.0
396.0	406.0
420.0	396.0
472.0	420.0
548.0	472.0
559.0	548.0
463.0	559.0
407.0	463.0
362.0	407.0
405.0	362.0
417.0	405.0
391.0	417.0
419.0	391.0
461.0	419.0
472.0	461.0
535.0	472.0
622.0	535.0
606.0	622.0
508.0	606.0
461.0	508.0
390.0	461.0
432.0	390.0
